Category,Hour,Count
Middle Eastern Restaurant,11,6
Middle Eastern Restaurant,12,30
Middle Eastern Restaurant,13,17
Middle Eastern Restaurant,14,10
Middle Eastern Restaurant,15,7
Middle Eastern Restaurant,16,10
Middle Eastern Restaurant,17,10
Middle Eastern Restaurant,18,14
Middle Eastern Restaurant,19,22
Middle Eastern Restaurant,20,17
Middle Eastern Restaurant,21,14
Middle Eastern Restaurant,22,10
Middle Eastern Restaurant,23,4
Arts & Entertainment,0,1
Arts & Entertainment,1,3
Arts & Entertainment,2,1
Arts & Entertainment,3,1
Arts & Entertainment,4,0
Arts & Entertainment,5,0
Arts & Entertainment,6,0
Arts & Entertainment,7,2
Arts & Entertainment,8,35
Arts & Entertainment,9,14
Arts & Entertainment,10,0
Arts & Entertainment,11,1
Arts & Entertainment,12,2
Arts & Entertainment,13,1
Arts & Entertainment,14,3
Arts & Entertainment,15,1
Arts & Entertainment,16,3
Arts & Entertainment,17,1
Arts & Entertainment,18,1
Arts & Entertainment,19,2
Arts & Entertainment,20,2
Arts & Entertainment,21,2
Arts & Entertainment,22,3
Arts & Entertainment,23,1
Shrine,0,1
Shrine,1,2
Shrine,2,2
Shrine,3,3
Shrine,4,1
Shrine,5,0
Shrine,6,1
Shrine,7,1
Shrine,8,8
Shrine,9,9
Shrine,10,0
Shrine,11,0
Shrine,12,2
Shrine,13,0
Shrine,14,0
Shrine,15,4
Shrine,16,3
Shrine,17,0
Shrine,18,1
Shrine,19,3
Shrine,20,1
Shrine,21,1
Shrine,22,3
Shrine,23,2
Playground,0,12
Playground,1,10
Playground,2,15
Playground,3,3
Playground,4,2
Playground,5,3
Playground,6,0
Playground,7,15
Playground,8,4
Playground,9,38
Playground,10,49
Playground,11,31
Playground,12,26
Playground,13,20
Playground,14,18
Playground,15,26
Playground,16,29
Playground,17,32
Playground,18,36
Playground,19,30
Playground,20,31
Playground,21,19
Playground,22,25
Playground,23,23
Student Center,0,2
Student Center,1,1
Student Center,2,2
Student Center,3,1
Student Center,4,0
Student Center,5,0
Student Center,6,1
Student Center,7,31
Student Center,8,35
Student Center,9,19
Student Center,10,9
Student Center,11,13
Student Center,12,17
Student Center,13,15
Student Center,14,24
Student Center,15,21
Student Center,16,7
Student Center,17,14
Student Center,18,16
Student Center,19,13
Student Center,20,5
Student Center,21,3
Student Center,22,2
Student Center,23,6
Italian Restaurant,0,21
Italian Restaurant,1,18
Italian Restaurant,2,5
Italian Restaurant,3,1
Italian Restaurant,4,4
Italian Restaurant,5,5
Italian Restaurant,6,3
Italian Restaurant,7,6
Italian Restaurant,8,9
Italian Restaurant,9,41
Italian Restaurant,10,44
Italian Restaurant,11,49
Italian Restaurant,12,123
Italian Restaurant,13,125
Italian Restaurant,14,121
Italian Restaurant,15,86
Italian Restaurant,16,61
Italian Restaurant,17,107
Italian Restaurant,18,200
Italian Restaurant,19,265
Italian Restaurant,20,231
Italian Restaurant,21,146
Italian Restaurant,22,96
Italian Restaurant,23,49
Bridal Shop,0,0
Bridal Shop,1,0
Bridal Shop,2,0
Bridal Shop,3,0
Bridal Shop,4,0
Bridal Shop,5,0
Bridal Shop,6,0
Bridal Shop,7,0
Bridal Shop,8,0
Bridal Shop,9,1
Bridal Shop,10,23
Bridal Shop,11,2
Bridal Shop,12,7
Bridal Shop,13,1
Bridal Shop,14,4
Bridal Shop,15,1
Bridal Shop,16,2
Bridal Shop,17,2
Bridal Shop,18,4
Bridal Shop,19,1
Bridal Shop,20,2
Bridal Shop,21,0
Bridal Shop,22,1
Bridal Shop,23,0
Castle,0,0
Castle,1,0
Castle,2,0
Castle,3,0
Castle,4,0
Castle,5,0
Castle,6,0
Castle,7,0
Castle,8,0
Castle,9,0
Castle,10,0
Castle,11,0
Castle,12,0
Castle,13,0
Castle,14,1
Castle,15,1
Castle,16,0
Castle,17,0
Castle,18,0
Castle,19,0
Castle,20,0
Castle,21,0
Castle,22,0
Castle,23,0
French Restaurant,0,15
French Restaurant,1,12
French Restaurant,2,5
French Restaurant,3,4
French Restaurant,4,5
French Restaurant,5,8
French Restaurant,6,18
French Restaurant,7,16
French Restaurant,8,18
French Restaurant,9,12
French Restaurant,10,22
French Restaurant,11,31
French Restaurant,12,63
French Restaurant,13,60
French Restaurant,14,54
French Restaurant,15,27
French Restaurant,16,26
French Restaurant,17,43
French Restaurant,18,45
French Restaurant,19,51
French Restaurant,20,70
French Restaurant,21,53
French Restaurant,22,39
French Restaurant,23,28
Home (private),0,921
Home (private),1,601
Home (private),2,473
Home (private),3,379
Home (private),4,269
Home (private),5,311
Home (private),6,434
Home (private),7,604
Home (private),8,599
Home (private),9,464
Home (private),10,508
Home (private),11,481
Home (private),12,602
Home (private),13,551
Home (private),14,535
Home (private),15,574
Home (private),16,618
Home (private),17,772
Home (private),18,966
Home (private),19,986
Home (private),20,954
Home (private),21,867
Home (private),22,937
Home (private),23,976
Korean Restaurant,0,14
Korean Restaurant,1,5
Korean Restaurant,2,9
Korean Restaurant,3,10
Korean Restaurant,4,5
Korean Restaurant,5,4
Korean Restaurant,6,2
Korean Restaurant,7,2
Korean Restaurant,8,2
Korean Restaurant,9,3
Korean Restaurant,10,4
Korean Restaurant,11,6
Korean Restaurant,12,40
Korean Restaurant,13,24
Korean Restaurant,14,17
Korean Restaurant,15,13
Korean Restaurant,16,12
Korean Restaurant,17,13
Korean Restaurant,18,35
Korean Restaurant,19,46
Korean Restaurant,20,62
Korean Restaurant,21,38
Korean Restaurant,22,20
Korean Restaurant,23,16
Financial or Legal Service,0,1
Financial or Legal Service,1,1
Financial or Legal Service,2,1
Financial or Legal Service,3,1
Financial or Legal Service,4,0
Financial or Legal Service,5,0
Financial or Legal Service,6,0
Financial or Legal Service,7,3
Financial or Legal Service,8,1
Financial or Legal Service,9,5
Financial or Legal Service,10,0
Financial or Legal Service,11,6
Financial or Legal Service,12,1
Financial or Legal Service,13,5
Financial or Legal Service,14,6
Financial or Legal Service,15,6
Financial or Legal Service,16,2
Financial or Legal Service,17,3
Financial or Legal Service,18,4
Financial or Legal Service,19,2
Financial or Legal Service,20,0
Financial or Legal Service,21,2
Financial or Legal Service,22,0
Financial or Legal Service,23,0
Indian Restaurant,0,9
Indian Restaurant,1,16
Indian Restaurant,2,8
Indian Restaurant,3,16
Indian Restaurant,4,7
Indian Restaurant,5,8
Indian Restaurant,6,3
Indian Restaurant,7,0
Indian Restaurant,8,2
Indian Restaurant,9,2
Indian Restaurant,10,9
Indian Restaurant,11,1
Indian Restaurant,12,33
Indian Restaurant,13,27
Indian Restaurant,14,26
Indian Restaurant,15,15
Indian Restaurant,16,9
Indian Restaurant,17,13
Indian Restaurant,18,28
Indian Restaurant,19,35
Indian Restaurant,20,46
Indian Restaurant,21,37
Indian Restaurant,22,12
Indian Restaurant,23,10
Light Rail,0,27
Light Rail,1,4
Light Rail,2,4
Light Rail,3,2
Light Rail,4,0
Light Rail,5,6
Light Rail,6,24
Light Rail,7,121
Light Rail,8,87
Light Rail,9,21
Light Rail,10,19
Light Rail,11,15
Light Rail,12,37
Light Rail,13,80
Light Rail,14,34
Light Rail,15,26
Light Rail,16,36
Light Rail,17,24
Light Rail,18,45
Light Rail,19,26
Light Rail,20,14
Light Rail,21,47
Light Rail,22,19
Light Rail,23,15
Fraternity House,0,2
Fraternity House,1,1
Fraternity House,2,0
Fraternity House,3,2
Fraternity House,4,2
Fraternity House,5,1
Fraternity House,6,2
Fraternity House,7,2
Fraternity House,8,1
Fraternity House,9,3
Fraternity House,10,4
Fraternity House,11,2
Fraternity House,12,2
Fraternity House,13,3
Fraternity House,14,0
Fraternity House,15,0
Fraternity House,16,0
Fraternity House,17,3
Fraternity House,18,2
Fraternity House,19,0
Fraternity House,20,2
Fraternity House,21,5
Fraternity House,22,2
Fraternity House,23,0
Parking,0,5
Parking,1,2
Parking,2,4
Parking,3,1
Parking,4,42
Parking,5,8
Parking,6,9
Parking,7,46
Parking,8,58
Parking,9,56
Parking,10,25
Parking,11,17
Parking,12,18
Parking,13,18
Parking,14,20
Parking,15,22
Parking,16,22
Parking,17,36
Parking,18,29
Parking,19,18
Parking,20,17
Parking,21,10
Parking,22,22
Parking,23,36
Bookstore,0,0
Bookstore,1,3
Bookstore,2,1
Bookstore,3,1
Bookstore,4,3
Bookstore,5,1
Bookstore,6,7
Bookstore,7,9
Bookstore,8,12
Bookstore,9,37
Bookstore,10,20
Bookstore,11,53
Bookstore,12,27
Bookstore,13,63
Bookstore,14,67
Bookstore,15,67
Bookstore,16,63
Bookstore,17,69
Bookstore,18,65
Bookstore,19,52
Bookstore,20,27
Bookstore,21,5
Bookstore,22,10
Bookstore,23,3
Road,0,94
Road,1,56
Road,2,48
Road,3,69
Road,4,75
Road,5,85
Road,6,98
Road,7,117
Road,8,235
Road,9,214
Road,10,153
Road,11,133
Road,12,122
Road,13,169
Road,14,125
Road,15,129
Road,16,168
Road,17,210
Road,18,252
Road,19,219
Road,20,155
Road,21,115
Road,22,91
Road,23,75
Video Game Store,0,0
Video Game Store,1,0
Video Game Store,2,0
Video Game Store,3,0
Video Game Store,4,0
Video Game Store,5,1
Video Game Store,6,1
Video Game Store,7,0
Video Game Store,8,6
Video Game Store,9,3
Video Game Store,10,3
Video Game Store,11,7
Video Game Store,12,12
Video Game Store,13,9
Video Game Store,14,11
Video Game Store,15,12
Video Game Store,16,12
Video Game Store,17,17
Video Game Store,18,8
Video Game Store,19,11
Video Game Store,20,6
Video Game Store,21,0
Video Game Store,22,1
Video Game Store,23,3
Japanese Restaurant,0,4
Japanese Restaurant,1,3
Japanese Restaurant,2,2
Japanese Restaurant,3,2
Japanese Restaurant,4,1
Japanese Restaurant,5,1
Japanese Restaurant,6,5
Japanese Restaurant,7,2
Japanese Restaurant,8,3
Japanese Restaurant,9,1
Japanese Restaurant,10,2
Japanese Restaurant,11,7
Japanese Restaurant,12,30
Japanese Restaurant,13,43
Japanese Restaurant,14,23
Japanese Restaurant,15,22
Japanese Restaurant,16,13
Japanese Restaurant,17,15
Japanese Restaurant,18,49
Japanese Restaurant,19,86
Japanese Restaurant,20,70
Japanese Restaurant,21,53
Japanese Restaurant,22,25
Japanese Restaurant,23,7
Pool,0,0
Pool,1,1
Pool,2,0
Pool,3,1
Pool,4,0
Pool,5,0
Pool,6,2
Pool,7,16
Pool,8,21
Pool,9,15
Pool,10,17
Pool,11,6
Pool,12,7
Pool,13,10
Pool,14,15
Pool,15,13
Pool,16,9
Pool,17,14
Pool,18,13
Pool,19,13
Pool,20,4
Pool,21,2
Pool,22,4
Pool,23,1
Sushi Restaurant,0,6
Sushi Restaurant,1,6
Sushi Restaurant,2,4
Sushi Restaurant,3,1
Sushi Restaurant,4,4
Sushi Restaurant,5,0
Sushi Restaurant,6,1
Sushi Restaurant,7,2
Sushi Restaurant,8,0
Sushi Restaurant,9,2
Sushi Restaurant,10,9
Sushi Restaurant,11,23
Sushi Restaurant,12,84
Sushi Restaurant,13,71
Sushi Restaurant,14,41
Sushi Restaurant,15,24
Sushi Restaurant,16,42
Sushi Restaurant,17,49
Sushi Restaurant,18,99
Sushi Restaurant,19,131
Sushi Restaurant,20,141
Sushi Restaurant,21,85
Sushi Restaurant,22,43
Sushi Restaurant,23,13
Building,0,38
Building,1,34
Building,2,26
Building,3,30
Building,4,29
Building,5,22
Building,6,82
Building,7,145
Building,8,453
Building,9,388
Building,10,271
Building,11,161
Building,12,200
Building,13,217
Building,14,227
Building,15,178
Building,16,140
Building,17,163
Building,18,164
Building,19,154
Building,20,131
Building,21,106
Building,22,69
Building,23,46
Bagel Shop,0,18
Bagel Shop,1,16
Bagel Shop,2,14
Bagel Shop,3,16
Bagel Shop,4,12
Bagel Shop,5,12
Bagel Shop,6,32
Bagel Shop,7,48
Bagel Shop,8,75
Bagel Shop,9,126
Bagel Shop,10,115
Bagel Shop,11,97
Bagel Shop,12,62
Bagel Shop,13,47
Bagel Shop,14,27
Bagel Shop,15,30
Bagel Shop,16,17
Bagel Shop,17,11
Bagel Shop,18,27
Bagel Shop,19,17
Bagel Shop,20,16
Bagel Shop,21,14
Bagel Shop,22,8
Bagel Shop,23,12
Bar,0,1436
Bar,1,1116
Bar,2,707
Bar,3,335
Bar,4,102
Bar,5,89
Bar,6,102
Bar,7,103
Bar,8,172
Bar,9,144
Bar,10,172
Bar,11,174
Bar,12,306
Bar,13,444
Bar,14,373
Bar,15,386
Bar,16,435
Bar,17,672
Bar,18,1199
Bar,19,1467
Bar,20,1453
Bar,21,1486
Bar,22,1598
Bar,23,1507
Motorcycle Shop,0,1
Motorcycle Shop,1,0
Motorcycle Shop,2,0
Motorcycle Shop,3,0
Motorcycle Shop,4,0
Motorcycle Shop,5,0
Motorcycle Shop,6,0
Motorcycle Shop,7,0
Motorcycle Shop,8,0
Motorcycle Shop,9,0
Motorcycle Shop,10,0
Motorcycle Shop,11,0
Motorcycle Shop,12,0
Motorcycle Shop,13,0
Motorcycle Shop,14,0
Motorcycle Shop,15,0
Motorcycle Shop,16,0
Motorcycle Shop,17,0
Motorcycle Shop,18,0
Motorcycle Shop,19,0
Motorcycle Shop,20,0
Motorcycle Shop,21,0
Motorcycle Shop,22,0
Motorcycle Shop,23,1
Restaurant,0,19
Restaurant,1,16
Restaurant,2,9
Restaurant,3,4
Restaurant,4,2
Restaurant,5,4
Restaurant,6,3
Restaurant,7,14
Restaurant,8,13
Restaurant,9,12
Restaurant,10,16
Restaurant,11,43
Restaurant,12,49
Restaurant,13,65
Restaurant,14,44
Restaurant,15,20
Restaurant,16,18
Restaurant,17,28
Restaurant,18,29
Restaurant,19,74
Restaurant,20,50
Restaurant,21,33
Restaurant,22,31
Restaurant,23,29
Southern / Soul Food Restaurant,0,2
Southern / Soul Food Restaurant,1,5
Southern / Soul Food Restaurant,2,1
Southern / Soul Food Restaurant,3,0
Southern / Soul Food Restaurant,4,1
Southern / Soul Food Restaurant,5,0
Southern / Soul Food Restaurant,6,1
Southern / Soul Food Restaurant,7,0
Southern / Soul Food Restaurant,8,0
Southern / Soul Food Restaurant,9,2
Southern / Soul Food Restaurant,10,4
Southern / Soul Food Restaurant,11,5
Southern / Soul Food Restaurant,12,18
Southern / Soul Food Restaurant,13,13
Southern / Soul Food Restaurant,14,13
Southern / Soul Food Restaurant,15,3
Southern / Soul Food Restaurant,16,9
Southern / Soul Food Restaurant,17,9
Southern / Soul Food Restaurant,18,8
Southern / Soul Food Restaurant,19,17
Southern / Soul Food Restaurant,20,14
Southern / Soul Food Restaurant,21,14
Southern / Soul Food Restaurant,22,6
Southern / Soul Food Restaurant,23,9
Pizza Place,0,53
Pizza Place,1,53
Pizza Place,2,38
Pizza Place,3,40
Pizza Place,4,20
Pizza Place,5,15
Pizza Place,6,17
Pizza Place,7,19
Pizza Place,8,39
Pizza Place,9,27
Pizza Place,10,34
Pizza Place,11,75
Pizza Place,12,172
Pizza Place,13,224
Pizza Place,14,178
Pizza Place,15,153
Pizza Place,16,129
Pizza Place,17,167
Pizza Place,18,198
Pizza Place,19,217
Pizza Place,20,250
Pizza Place,21,164
Pizza Place,22,115
Pizza Place,23,72
Music Store,0,0
Music Store,1,0
Music Store,2,0
Music Store,3,0
Music Store,4,1
Music Store,5,0
Music Store,6,0
Music Store,7,0
Music Store,8,1
Music Store,9,1
Music Store,10,0
Music Store,11,3
Music Store,12,4
Music Store,13,10
Music Store,14,4
Music Store,15,4
Music Store,16,7
Music Store,17,3
Music Store,18,8
Music Store,19,2
Music Store,20,4
Music Store,21,0
Music Store,22,1
Music Store,23,1
Hot Dog Joint,0,17
Hot Dog Joint,1,12
Hot Dog Joint,2,12
Hot Dog Joint,3,9
Hot Dog Joint,4,0
Hot Dog Joint,5,4
Hot Dog Joint,6,1
Hot Dog Joint,7,3
Hot Dog Joint,8,4
Hot Dog Joint,9,3
Hot Dog Joint,10,1
Hot Dog Joint,11,8
Hot Dog Joint,12,13
Hot Dog Joint,13,23
Hot Dog Joint,14,10
Hot Dog Joint,15,9
Hot Dog Joint,16,21
Hot Dog Joint,17,18
Hot Dog Joint,18,20
Hot Dog Joint,19,26
Hot Dog Joint,20,28
Hot Dog Joint,21,16
Hot Dog Joint,22,7
Hot Dog Joint,23,16
Ice Cream Shop,0,5
Ice Cream Shop,1,4
Ice Cream Shop,2,1
Ice Cream Shop,3,3
Ice Cream Shop,4,3
Ice Cream Shop,5,0
Ice Cream Shop,6,2
Ice Cream Shop,7,1
Ice Cream Shop,8,6
Ice Cream Shop,9,15
Ice Cream Shop,10,12
Ice Cream Shop,11,13
Ice Cream Shop,12,23
Ice Cream Shop,13,41
Ice Cream Shop,14,65
Ice Cream Shop,15,63
Ice Cream Shop,16,62
Ice Cream Shop,17,60
Ice Cream Shop,18,71
Ice Cream Shop,19,94
Ice Cream Shop,20,111
Ice Cream Shop,21,93
Ice Cream Shop,22,55
Ice Cream Shop,23,28
Cuban Restaurant,0,11
Cuban Restaurant,1,9
Cuban Restaurant,2,1
Cuban Restaurant,3,5
Cuban Restaurant,4,6
Cuban Restaurant,5,3
Cuban Restaurant,6,2
Cuban Restaurant,7,1
Cuban Restaurant,8,2
Cuban Restaurant,9,4
Cuban Restaurant,10,6
Cuban Restaurant,11,15
Cuban Restaurant,12,31
Cuban Restaurant,13,39
Cuban Restaurant,14,23
Cuban Restaurant,15,22
Cuban Restaurant,16,11
Cuban Restaurant,17,20
Cuban Restaurant,18,30
Cuban Restaurant,19,32
Cuban Restaurant,20,31
Cuban Restaurant,21,28
Cuban Restaurant,22,16
Cuban Restaurant,23,17
Bakery,0,15
Bakery,1,6
Bakery,2,4
Bakery,3,4
Bakery,4,3
Bakery,5,15
Bakery,6,18
Bakery,7,76
Bakery,8,110
Bakery,9,95
Bakery,10,79
Bakery,11,98
Bakery,12,135
Bakery,13,152
Bakery,14,110
Bakery,15,105
Bakery,16,90
Bakery,17,82
Bakery,18,96
Bakery,19,77
Bakery,20,114
Bakery,21,44
Bakery,22,36
Bakery,23,22
Gift Shop,0,1
Gift Shop,1,2
Gift Shop,2,1
Gift Shop,3,0
Gift Shop,4,0
Gift Shop,5,0
Gift Shop,6,0
Gift Shop,7,1
Gift Shop,8,6
Gift Shop,9,2
Gift Shop,10,7
Gift Shop,11,9
Gift Shop,12,11
Gift Shop,13,16
Gift Shop,14,13
Gift Shop,15,18
Gift Shop,16,7
Gift Shop,17,17
Gift Shop,18,16
Gift Shop,19,10
Gift Shop,20,10
Gift Shop,21,3
Gift Shop,22,0
Gift Shop,23,1
Government Building,0,25
Government Building,1,20
Government Building,2,9
Government Building,3,11
Government Building,4,12
Government Building,5,40
Government Building,6,43
Government Building,7,70
Government Building,8,157
Government Building,9,172
Government Building,10,117
Government Building,11,103
Government Building,12,90
Government Building,13,103
Government Building,14,119
Government Building,15,82
Government Building,16,60
Government Building,17,64
Government Building,18,52
Government Building,19,52
Government Building,20,59
Government Building,21,55
Government Building,22,35
Government Building,23,39
College Stadium,0,2
College Stadium,1,0
College Stadium,2,0
College Stadium,3,0
College Stadium,4,0
College Stadium,5,6
College Stadium,6,2
College Stadium,7,4
College Stadium,8,28
College Stadium,9,3
College Stadium,10,1
College Stadium,11,0
College Stadium,12,3
College Stadium,13,4
College Stadium,14,1
College Stadium,15,2
College Stadium,16,4
College Stadium,17,9
College Stadium,18,1
College Stadium,19,1
College Stadium,20,0
College Stadium,21,1
College Stadium,22,0
College Stadium,23,3
Ferry,0,11
Ferry,1,1
Ferry,2,3
Ferry,3,5
Ferry,4,3
Ferry,5,9
Ferry,6,100
Ferry,7,52
Ferry,8,42
Ferry,9,67
Ferry,10,33
Ferry,11,32
Ferry,12,40
Ferry,13,48
Ferry,14,52
Ferry,15,47
Ferry,16,44
Ferry,17,79
Ferry,18,113
Ferry,19,36
Ferry,20,26
Ferry,21,28
Ferry,22,13
Ferry,23,8
River,0,2
River,1,1
River,2,1
River,3,1
River,4,2
River,5,0
River,6,7
River,7,11
River,8,72
River,9,2
River,10,4
River,11,6
River,12,7
River,13,1
River,14,2
River,15,3
River,16,3
River,17,4
River,18,3
River,19,4
River,20,3
River,21,0
River,22,4
River,23,2
Professional & Other Places,0,7
Professional & Other Places,1,1
Professional & Other Places,2,1
Professional & Other Places,3,1
Professional & Other Places,4,2
Professional & Other Places,5,4
Professional & Other Places,6,4
Professional & Other Places,7,4
Professional & Other Places,8,18
Professional & Other Places,9,17
Professional & Other Places,10,7
Professional & Other Places,11,16
Professional & Other Places,12,7
Professional & Other Places,13,16
Professional & Other Places,14,12
Professional & Other Places,15,6
Professional & Other Places,16,10
Professional & Other Places,17,7
Professional & Other Places,18,3
Professional & Other Places,19,4
Professional & Other Places,20,1
Professional & Other Places,21,4
Professional & Other Places,22,4
Professional & Other Places,23,3
Salad Place,0,1
Salad Place,1,0
Salad Place,2,0
Salad Place,3,0
Salad Place,4,0
Salad Place,5,0
Salad Place,6,0
Salad Place,7,2
Salad Place,8,3
Salad Place,9,6
Salad Place,10,3
Salad Place,11,5
Salad Place,12,64
Salad Place,13,53
Salad Place,14,23
Salad Place,15,3
Salad Place,16,3
Salad Place,17,11
Salad Place,18,4
Salad Place,19,7
Salad Place,20,6
Salad Place,21,3
Salad Place,22,0
Salad Place,23,2
Hobby Shop,0,0
Hobby Shop,1,1
Hobby Shop,2,0
Hobby Shop,3,0
Hobby Shop,4,0
Hobby Shop,5,0
Hobby Shop,6,0
Hobby Shop,7,0
Hobby Shop,8,0
Hobby Shop,9,1
Hobby Shop,10,2
Hobby Shop,11,1
Hobby Shop,12,3
Hobby Shop,13,4
Hobby Shop,14,6
Hobby Shop,15,6
Hobby Shop,16,2
Hobby Shop,17,7
Hobby Shop,18,6
Hobby Shop,19,5
Hobby Shop,20,1
Hobby Shop,21,2
Hobby Shop,22,2
Hobby Shop,23,0
Brazilian Restaurant,0,1
Brazilian Restaurant,1,1
Brazilian Restaurant,2,0
Brazilian Restaurant,3,0
Brazilian Restaurant,4,0
Brazilian Restaurant,5,5
Brazilian Restaurant,6,2
Brazilian Restaurant,7,2
Brazilian Restaurant,8,0
Brazilian Restaurant,9,1
Brazilian Restaurant,10,1
Brazilian Restaurant,11,1
Brazilian Restaurant,12,7
Brazilian Restaurant,13,10
Brazilian Restaurant,14,3
Brazilian Restaurant,15,5
Brazilian Restaurant,16,5
Brazilian Restaurant,17,10
Brazilian Restaurant,18,7
Brazilian Restaurant,19,12
Brazilian Restaurant,20,6
Brazilian Restaurant,21,8
Brazilian Restaurant,22,4
Brazilian Restaurant,23,2
Coffee Shop,0,36
Coffee Shop,1,31
Coffee Shop,2,19
Coffee Shop,3,17
Coffee Shop,4,39
Coffee Shop,5,70
Coffee Shop,6,219
Coffee Shop,7,671
Coffee Shop,8,970
Coffee Shop,9,980
Coffee Shop,10,522
Coffee Shop,11,403
Coffee Shop,12,413
Coffee Shop,13,492
Coffee Shop,14,459
Coffee Shop,15,500
Coffee Shop,16,412
Coffee Shop,17,330
Coffee Shop,18,282
Coffee Shop,19,237
Coffee Shop,20,145
Coffee Shop,21,120
Coffee Shop,22,86
Coffee Shop,23,57
Bike Rental / Bike Share,0,0
Bike Rental / Bike Share,1,0
Bike Rental / Bike Share,2,0
Bike Rental / Bike Share,3,1
Bike Rental / Bike Share,4,0
Bike Rental / Bike Share,5,0
Bike Rental / Bike Share,6,0
Bike Rental / Bike Share,7,1
Bike Rental / Bike Share,8,1
Bike Rental / Bike Share,9,0
Bike Rental / Bike Share,10,2
Bike Rental / Bike Share,11,0
Bike Rental / Bike Share,12,0
Bike Rental / Bike Share,13,1
Bike Rental / Bike Share,14,0
Bike Rental / Bike Share,15,0
Bike Rental / Bike Share,16,1
Bike Rental / Bike Share,17,0
Bike Rental / Bike Share,18,1
Bike Rental / Bike Share,19,0
Bike Rental / Bike Share,20,0
Bike Rental / Bike Share,21,0
Bike Rental / Bike Share,22,1
Bike Rental / Bike Share,23,0
Eastern European Restaurant,0,5
Eastern European Restaurant,1,1
Eastern European Restaurant,2,2
Eastern European Restaurant,3,1
Eastern European Restaurant,4,1
Eastern European Restaurant,5,0
Eastern European Restaurant,6,0
Eastern European Restaurant,7,1
Eastern European Restaurant,8,1
Eastern European Restaurant,9,2
Eastern European Restaurant,10,4
Eastern European Restaurant,11,5
Eastern European Restaurant,12,2
Eastern European Restaurant,13,5
Eastern European Restaurant,14,4
Eastern European Restaurant,15,5
Eastern European Restaurant,16,0
Eastern European Restaurant,17,3
Eastern European Restaurant,18,7
Eastern European Restaurant,19,12
Eastern European Restaurant,20,12
Eastern European Restaurant,21,6
Eastern European Restaurant,22,8
Eastern European Restaurant,23,1
Aquarium,0,0
Aquarium,1,0
Aquarium,2,0
Aquarium,3,0
Aquarium,4,0
Aquarium,5,0
Aquarium,6,0
Aquarium,7,0
Aquarium,8,0
Aquarium,9,0
Aquarium,10,0
Aquarium,11,2
Aquarium,12,0
Aquarium,13,2
Aquarium,14,3
Aquarium,15,2
Aquarium,16,1
Aquarium,17,0
Aquarium,18,1
Aquarium,19,0
Aquarium,20,0
Aquarium,21,0
Aquarium,22,0
Aquarium,23,0
Cupcake Shop,0,0
Cupcake Shop,1,1
Cupcake Shop,2,0
Cupcake Shop,3,0
Cupcake Shop,4,0
Cupcake Shop,5,4
Cupcake Shop,6,3
Cupcake Shop,7,5
Cupcake Shop,8,9
